	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_fdr	pathway_avg_rank	pathway_avg_overlap	cancer_type_rank	entities_ratio	entities_pValue	entities_fdr	entities_found	entities_total
43	R-HSA-1236977	gbm	0.9240506329113924	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	10	0.005649717514124294	0.0777485072378854	0.803797666027487	79	82
44	R-HSA-1236977	hnscc	1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	24	0.005649717514124294	0.1423222126034932	0.83292086846573	79	82
45	R-HSA-1236977	lscc	-0.8181818181818182	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	3	0.005649717514124294	0.07514809520024623	0.8726502026225027	78	82
46	R-HSA-1236977	luad	-0.9090909090909091	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	3	0.005649717514124294	0.04130523275025544	0.8489584258572173	78	82
47	R-HSA-1236977	ovarian	-1.0	https://reactome.org/PathwayBrowser/#/R-HSA-1236977&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Endosomal/Vacuolar pathway	8	0.73062867018748	12.625	0.005649717514124294	14	0.005649717514124294	0.021695385380408827	0.7803251322975149	79	82
48	R-HSA-927802	ccrcc	0.6111111111111112	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	22	0.008543475265261127	0.10365286374904548	0.8426403962485929	115	124
49	R-HSA-927802	colon	0.8148148148148148	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	11	0.008543475265261127	0.00018567485938592032	0.02580881972706428	114	124
50	R-HSA-927802	endometrial	0.6261682242990654	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	24	0.008543475265261127	0.08755203584398652	0.8219205345749762	115	124
51	R-HSA-927802	gbm	0.7714285714285715	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	17	0.008543475265261127	0.09008047128707031	0.803797666027487	115	124
52	R-HSA-927802	hnscc	0.2336448598130841	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	29	0.008543475265261127	0.15708215432537542	0.83292086846573	116	124
53	R-HSA-927802	lscc	0.7115384615384616	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	11	0.008543475265261127	0.0946653969672091	0.8726502026225027	113	124
54	R-HSA-927802	luad	0.7090909090909091	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	6	0.008543475265261127	0.046875549675676864	0.8489584258572173	113	124
55	R-HSA-927802	ovarian	0.8775510204081632	https://reactome.org/PathwayBrowser/#/R-HSA-927802&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Nonsense-Mediated Decay (NMD)	8	0.7286277557276357	16.25	0.008543475265261127	10	0.008543475265261127	0.019049263955845164	0.7803251322975149	115	124
56	R-HSA-975957	ccrcc	0.6111111111111112	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	0.7286277557276357	17.25	0.008543475265261127	23	0.008543475265261127	0.10365286374904548	0.8426403962485929	115	124
57	R-HSA-975957	colon	0.8148148148148148	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	0.7286277557276357	17.25	0.008543475265261127	12	0.008543475265261127	0.00018567485938592032	0.02580881972706428	114	124
58	R-HSA-975957	endometrial	0.6261682242990654	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	0.7286277557276357	17.25	0.008543475265261127	25	0.008543475265261127	0.08755203584398652	0.8219205345749762	115	124
59	R-HSA-975957	gbm	0.7714285714285715	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	0.7286277557276357	17.25	0.008543475265261127	18	0.008543475265261127	0.09008047128707031	0.803797666027487	115	124
60	R-HSA-975957	hnscc	0.2336448598130841	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	0.7286277557276357	17.25	0.008543475265261127	30	0.008543475265261127	0.15708215432537542	0.83292086846573	116	124
