	stId
597	R-HSA-75893
598	R-HSA-512988
599	R-HSA-379716
600	R-HSA-71403
601	R-HSA-442660
602	R-HSA-8854214
603	R-HSA-3214841
604	R-HSA-167200
605	R-HSA-165159
606	R-HSA-9615017
607	R-HSA-9609736
608	R-HSA-381676
609	R-HSA-977444
610	R-HSA-991365
611	R-HSA-1839126
612	R-HSA-196741
613	R-HSA-5625886
614	R-HSA-5423646
615	R-HSA-73817
616	R-HSA-6811438
617	R-HSA-73933
618	R-HSA-69236
619	R-HSA-69231
620	R-HSA-168271
621	R-HSA-110313
622	R-HSA-111996
623	R-HSA-1839124
624	R-HSA-427389
625	R-HSA-1227990
626	R-HSA-9660826
627	R-HSA-9664424
628	R-HSA-2022377
629	R-HSA-3000480
630	R-HSA-71240
631	R-HSA-390696
632	R-HSA-159234
633	R-HSA-73779
634	R-HSA-5696395
635	R-HSA-9646399
636	R-HSA-1251985
637	R-HSA-8853884
638	R-HSA-176033
639	R-HSA-3371568
640	R-HSA-451927
641	R-HSA-1643713
642	R-HSA-379726
643	R-HSA-400508
644	R-HSA-159231
645	R-HSA-1566948
646	R-HSA-74158
647	R-HSA-749476
648	R-HSA-8953750
649	R-HSA-6806003
650	R-HSA-5675221
651	R-HSA-177243
652	R-HSA-168276
653	R-HSA-9664565
654	R-HSA-975576
655	R-HSA-73927
656	R-HSA-189451
657	R-HSA-71336
658	R-HSA-8875878
659	R-HSA-6814122
660	R-HSA-202427
661	R-HSA-389948
662	R-HSA-392518
663	R-HSA-174417
664	R-HSA-452723
665	R-HSA-110331
666	R-HSA-427359
667	R-HSA-6785470
668	R-HSA-2046106
669	R-HSA-3899300
670	R-HSA-180910
671	R-HSA-5693579
672	R-HSA-3769402
673	R-HSA-8948216
674	R-HSA-165054
675	R-HSA-5218920
676	R-HSA-419037
677	R-HSA-212300
678	R-HSA-2024096
679	R-HSA-1296072
680	R-HSA-196757
681	R-HSA-5609975
682	R-HSA-74217
683	R-HSA-71064
684	R-HSA-112311
685	R-HSA-3232142
686	R-HSA-432720
687	R-HSA-6804757
688	R-HSA-69205
689	R-HSA-111997
690	R-HSA-111933
691	R-HSA-5689896
692	R-HSA-3371511
693	R-HSA-114604
694	R-HSA-8853659
695	R-HSA-8941326
696	R-HSA-8982491
697	R-HSA-933541
698	R-HSA-381771
699	R-HSA-193775
700	R-HSA-8963691
701	R-HSA-3301854
702	R-HSA-2559585
703	R-HSA-202430
704	R-HSA-8964043
705	R-HSA-187687
706	R-HSA-381042
707	R-HSA-5654687
708	R-HSA-1368108
709	R-HSA-6783310
710	R-HSA-110328
711	R-HSA-5654696
712	R-HSA-163560
713	R-HSA-9671555
714	R-HSA-3296482
715	R-HSA-5655332
716	R-HSA-8853338
717	R-HSA-1482839
718	R-HSA-180746
719	R-HSA-5696400
720	R-HSA-5663213
721	R-HSA-5693616
