Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Activated NTRK3 signals through RAS	8/8			SOS1;GRB2;KRAS;SHC1;HRAS;NRAS;NTRK3;NTF3
CUSTOM140674733480768	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	6/36			KDM4C;NCOA2;PKN1;H2AFX;KDM1A;AR
CUSTOM140674733480768	Activated point mutants of FGFR2	4/17			FGF7;FGFR2;FGF1;FGF2
CUSTOM140674733480768	Activation and oligomerization of BAK protein	2/2			BID;BAK1
CUSTOM140674733480768	Activation of AKT2	3/4			THEM4;AKT2;PDPK1
CUSTOM140674733480768	Activation of AMPA receptors	4/4			GRIA1;GRIA4;GRIA3;GRIA2
CUSTOM140674733480768	Activation of AMPK downstream of NMDARs	9/10			PRKAA2;PRKAB1;CALM1;PRKAB2;PRKAA1;CAMKK2;MAPT;PRKAG2;PRKAG1
CUSTOM140674733480768	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	73/77			PSMB2;PSMB9;ANAPC15;ANAPC10;CDC26;PSMD12;CDC16;PSMD11;RPS27A;PSMD8;UBE2E1;ANAPC7;PSMA5;PSMA4;ANAPC5;PSMC1;PSMA7;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;UBE2C;CDK1;PSMB3;PSMB10;PSMA6;UBE2S;PSMC6;CCNA2;BUB1B;MAD2L1;ANAPC16;PSMC3;PSME2;CDC23;ANAPC1;PSMD9;PSMD4;PSMD5;PSMC4;PSMB11;PSMA2;CCNB1;PSMD1;PSMD14;ANAPC11;PSMD3;ANAPC2;UBB;PSMD13;PSMC2;PSMD7;PSME4;PSMB8;PSMB1;UBA52;PSME1;PSMA8;PSMA3;BUB3;PSMC5;PSMB6;PSMF1;PSMD2;UBE2D1;PSMB7;PSME3;PLK1;PTTG1;CDC27;PSMB5;ANAPC4
CUSTOM140674733480768	Activation of ATR in response to replication stress	32/37			MCM2;ATR;RFC3;ORC1;ORC6;MCM4;CDC25C;RPA2;RAD1;RAD17;CDC7;ORC4;RFC4;ATRIP;RFC2;ORC2;RFC5;CHEK1;CDK2;MCM6;HUS1;CDC45;MCM7;RAD9A;CLSPN;RPA3;ORC5;MCM3;RPA1;MCM5;MCM8;ORC3
CUSTOM140674733480768	Activation of BAD and translocation to mitochondria	15/15			YWHAG;PPP3R1;BID;YWHAB;BCL2;AKT3;AKT2;AKT1;SFN;YWHAH;YWHAQ;PPP3CC;YWHAE;BAD;YWHAZ
CUSTOM140674733480768	Activation of BH3-only proteins	28/30			YWHAG;PPP3R1;DYNLL1;SFN;DYNLL2;PPP1R13B;YWHAB;AKT3;YWHAH;TP53;PPP3CC;BAD;TP63;TFDP2;BID;TP73;AKT2;BCL2L11;TFDP1;YWHAE;TP53BP2;BMF;MAPK8;BCL2;AKT1;BBC3;YWHAQ;YWHAZ
CUSTOM140674733480768	Activation of BIM and translocation to mitochondria	3/3			BCL2L11;MAPK8;DYNLL1
CUSTOM140674733480768	Activation of BMF and translocation to mitochondria	3/3			BMF;DYNLL2;MAPK8
CUSTOM140674733480768	Activation of C3 and C5	6/6			C4A;C2;CFB;C3;C5;C4B
CUSTOM140674733480768	Activation of Ca-permeable Kainate Receptor	7/10			DLG4;CALM1;DLG3;DLG1;GRIK2;GRIK5;NCALD
CUSTOM140674733480768	Activation of G protein gated Potassium channels	26/29			GNG5;GABBR2;GNGT2;KCNJ4;GNG12;GNG2;GNG11;GNB5;GNB3;KCNJ10;GNG10;GNG4;KCNJ15;GNG7;GNG8;KCNJ16;KCNJ6;GABBR1;GNG13;GNGT1;GNB4;GNG3;GNB1;KCNJ3;GNB2;KCNJ9
CUSTOM140674733480768	Activation of GABAB receptors	38/43			GNG5;GABBR2;GNAI1;GNGT2;ADCY1;KCNJ4;GNG12;GNG2;GNG11;GNB5;ADCY3;GNB3;KCNJ10;GNG10;GNG4;ADCY6;KCNJ15;GNG7;GNG8;KCNJ16;KCNJ6;GNAI3;ADCY5;GNAI2;GABBR1;GNG13;GNGT1;ADCY7;ADCY8;GNB4;GNG3;GNB1;KCNJ3;ADCY9;GNAL;GNB2;KCNJ9;ADCY2
CUSTOM140674733480768	Activation of HOX genes during differentiation	49/91			POLR2D;SUZ12;POLR2I;H2AFX;POLR2J;RBBP5;RARG;PAXIP1;KDM6A;CTCF;POLR2L;POLR2H;EZH2;EED;PCGF2;MEIS1;RBBP4;HOXD4;KMT2D;YY1;RARA;KMT2C;EP300;POLR2B;ASH2L;CREBBP;NCOR1;RXRA;AJUBA;WDR5;HDAC3;CNOT6;PIAS2;PKNOX1;PAX6;RBBP7;POLR2C;HOXB4;MAFB;POLR2E;PAGR1;POLR2A;JUN;POLR2F;NCOA6;PBX1;POLR2G;NCOA3;POLR2K
CUSTOM140674733480768	Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	14/17			SARM1;IKBKE;RPS27A;TICAM1;PTPN11;IRF3;TANK;TRAF3;UBB;TBK1;CD14;IRF7;LY96;UBA52
