Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140674733480768	Rev-mediated nuclear export of HIV RNA	34/36			NUP58;POM121;NUP43;AAAS;SEC13;NUP188;NUP93;RANBP1;NUP35;RANGAP1;TPR;NUP50;NUP37;RANBP2;SEH1L;NUP85;NUP133;RAN;NUP214;NUP210;NUP153;XPO1;NUP205;POM121C;NUP107;RAE1;NUP155;NDC1;NUP88;RCC1;NUP54;NUP62;NUP98;NUP160
CUSTOM140674733480768	Reversal of alkylation damage by DNA dioxygenases	7/7			ASCC1;ALKBH5;ALKBH2;ASCC2;ASCC3;ALKBH3;FTO
CUSTOM140674733480768	Reverse Transcription of HIV RNA	1/7			PPIA
CUSTOM140674733480768	Reversible hydration of carbon dioxide	11/12			CA12;CA13;CA1;CA14;CA3;CA7;CA5B;CA4;CA2;CA9;CA6
CUSTOM140674733480768	Rhesus blood group biosynthesis	2/2			RHCE;RHD
CUSTOM140674733480768	Rhesus glycoproteins mediate ammonium transport.	2/3			RHAG;RHCG
CUSTOM140674733480768	Rho GTPase cycle	123/141			ARHGAP31;ARHGAP21;ARHGAP6;SRGAP1;RHOC;ARHGAP26;ARHGAP5;SYDE1;ARHGAP19;FGD4;ARHGAP39;BCR;ARHGEF10L;ARHGDIA;GDI1;ARHGEF17;ARHGAP30;ARHGAP9;ARHGAP22;ARHGAP28;ARHGAP44;RHOT2;ARHGEF12;ARHGAP11A;TRIP10;MYO9A;ARHGEF2;RACGAP1;ARHGAP15;FAM13A;ARHGEF38;SRGAP3;ARHGEF10;TRIO;MYO9B;ARHGAP29;ABR;RALBP1;GDI2;FGD1;ARHGAP10;CDC42;ARAP1;RHOA;PIK3R2;DEPDC7;RAC1;VAV3;A2M;RHOF;ARAP3;ARHGEF7;STARD13;NGEF;INPP5B;ARHGAP1;ARHGEF1;RAC2;ARHGAP12;ARHGAP32;ARHGEF18;ARHGEF37;SOS2;MCF2L;ARHGEF9;CHN2;RASGRF2;RHOT1;RHOQ;RHOG;SRGAP2;TAGAP;TIAM2;ARHGAP17;OBSCN;ARHGEF16;CHN1;ARHGEF35;ARHGEF3;RHOJ;ARHGEF40;RAC3;ARHGAP8;AKAP13;ARHGEF5;RHOH;RHOU;DLC1;SYDE2;SOS1;ARHGEF15;ARHGAP23;ARHGAP27;ECT2;FGD2;ARHGEF4;VAV1;GMIP;ARHGAP33;ARHGDIB;KALRN;PREX1;RHOB;TIAM1;VAV2;ARHGAP24;ARHGAP4;ARHGEF26;ARHGEF19;ARHGAP42;FGD3;ARHGEF6;PLEKHG5;ARHGAP25;ARHGEF11;GNA13;ITSN1;ARHGAP18;OPHN1;ARAP2;ARHGAP35;OCRL;PLEKHG2
CUSTOM140674733480768	Ribosomal scanning and start codon recognition	59/60			EIF3M;RPS9;RPS3A;EIF3F;RPS16;RPS13;RPS26;RPS27A;RPS5;RPS12;RPS14;RPS21;RPS7;RPS4Y2;RPS27;RPS8;EIF2S1;EIF4H;EIF3B;RPS18;EIF2S3;EIF4A2;EIF2S2;RPS2;RPS20;EIF3A;EIF3L;RPS25;EIF3D;EIF4B;EIF3J;FAU;RPS11;RPS19;RPSA;RPS28;EIF3H;RPS24;EIF3K;EIF3C;EIF5;RPS27L;EIF3I;RPS4Y1;RPS3;EIF4A1;RPS17;EIF1AX;RPS15A;RPS6;RPS10;RPS4X;EIF4G1;EIF3G;RPS29;RPS15;RPS23;EIF4E;EIF3E
CUSTOM140674733480768	Role of ABL in ROBO-SLIT signaling	8/8			CLASP1;CAP1;ABL2;ABL1;SLIT2;CLASP2;CAP2;ROBO1
CUSTOM140674733480768	Role of LAT2/NTAL/LAB on calcium mobilization	13/92			SOS1;PIK3CA;GRB2;PIK3R2;PIK3R1;SYK;SHC1;GAB2;LAT2;FYN;LYN;PIK3CB;PDPK1
CUSTOM140674733480768	Role of phospholipids in phagocytosis	23/107			AHCYL1;PIK3R1;FCGR3A;ITPR2;CD247;PLCG1;PLCG2;PLD4;PRKCE;PIK3CA;PRKCD;FCGR1A;PLD2;PLD3;ITPR3;FCGR2A;PIK3R2;SYK;PLD1;CD3G;ITPR1;PIK3CB;PLA2G6
CUSTOM140674733480768	Role of second messengers in netrin-1 signaling	8/10			TRPC4;TRPC6;TRPC1;NTN1;PITPNA;DCC;PLCG1;TRPC5
CUSTOM140674733480768	S Phase	153/162			RB1;POLD2;PSMB9;GINS1;PSMD11;ANAPC7;PSMA5;RFC3;POLD4;PSMB4;RPA2;PTK6;PSMB10;CDK4;CDKN1A;PSMC6;ORC4;CCNA2;SMC1A;ORC2;PSMB11;RFC5;ANAPC2;LIN52;RFC1;PSME1;UBA52;WAPL;PSMA8;PSMA3;POLE4;PSMB6;UBE2D1;PSMB5;ORC3;MYC;PSMB2;CCNE1;CABLES1;CDC16;ESCO1;PSMD12;ORC1;FEN1;E2F5;ORC6;PSMD10;ESCO2;STAG1;PSMB3;CDKN1B;POLA2;POLE;AKT3;GSK3B;POLD3;PSMC3;PSME2;PCNA;MNAT1;PSMA2;TFDP2;DNA2;PSMD14;ANAPC11;PSMD3;POLD1;UBB;PSMD7;PSMB8;CCND1;PSMC5;ORC5;MCM3;CCNH;RPA1;ANAPC4;CDCA5;ANAPC15;MCM2;RPS27A;RBX1;MAX;ANAPC5;PSMA4;UBE2E1;CDK7;CUL1;PSMA7;MCM4;GINS4;PSMA1;PRIM2;UBE2C;POLA1;UBE2S;FZR1;PDS5A;CDC23;ANAPC1;PSMD4;PSMD5;RFC2;SKP1;PSMD1;AKT2;GINS2;TFDP1;PSMC2;MCM7;PRIM1;LIN37;PSMF1;AKT1;MCM5;PSME3;LIN54;RAD21;POLE2;POLE3;PSMD13;ANAPC10;CDC26;PSMD8;LIN9;WEE1;PSMC1;SMC3;PSMD6;E2F4;PSMA6;RBBP4;ANAPC16;CKS1B;RFC4;PSMD9;PSMC4;CDK2;LIG1;MCM6;GINS3;PSME4;PDS5B;CDC45;PSMB1;STAG2;RPA3;PSMD2;PSMB7;MCM8;SKP2;RBL2;CDC27
CUSTOM140674733480768	S33 mutants of beta-catenin aren't phosphorylated	14/15			PPP2R1B;PPP2R5D;APC;PPP2R1A;GSK3B;CSNK1A1;PPP2R5B;PPP2CA;AXIN1;CTNNB1;PPP2CB;PPP2R5C;PPP2R5A;PPP2R5E
CUSTOM140674733480768	S37 mutants of beta-catenin aren't phosphorylated	14/15			PPP2R1B;PPP2R5D;APC;PPP2R1A;GSK3B;CSNK1A1;PPP2R5B;PPP2CA;AXIN1;CTNNB1;PPP2CB;PPP2R5C;PPP2R5A;PPP2R5E
CUSTOM140674733480768	S45 mutants of beta-catenin aren't phosphorylated	14/15			PPP2R1B;PPP2R5D;APC;PPP2R1A;GSK3B;CSNK1A1;PPP2R5B;PPP2CA;AXIN1;CTNNB1;PPP2CB;PPP2R5C;PPP2R5A;PPP2R5E
CUSTOM140674733480768	SARS-CoV Infections	76/98			RB1;HDAC2;BECN1;ROCK1;GANAB;RPS27A;SIGMAR1;FURIN;IMPDH2;GSK3A;TBK1;SUMO1;PARP9;AP2A1;ST3GAL4;CHMP2B;ITGA4;RIPK1;CHMP4C;ST6GALNAC3;ITGB1;CHMP6;PARP10;BRD4;CHMP4B;IMPDH1;GSK3B;ROCK2;TLR7;ZCRB1;NR3C1;CHMP2A;GALNT1;TYK2;CHMP3;S1PR1;ST6GAL1;AP2S1;CHMP7;ST3GAL2;DDX5;JAK3;MGAT1;PIK3C3;AP2A2;VHL;PARP16;AP2B1;AP2M1;UBB;ACE2;IL1RAP;JAK1;MOGS;TMPRSS2;CTSL;CRBN;PARP14;UBA52;MAP1LC3B;TUBB;UBE2I;COMT;JAK2;VEGFA;ST3GAL1;CHMP4A;VCP;PARP4;ATP1A1;CANX;FKBP1A;IL1R1;PRKCSH;PIK3R4;UVRAG
CUSTOM140674733480768	SARS-CoV-1 Infection	44/61			RB1;BECN1;GANAB;RPS27A;GSK3A;SUMO1;PARP9;ST3GAL4;CHMP2B;CHMP4C;ST6GALNAC3;CHMP6;PARP10;CHMP4B;GSK3B;ZCRB1;CHMP2A;GALNT1;CHMP3;ST6GAL1;CHMP7;ST3GAL2;DDX5;PIK3C3;MGAT1;VHL;ACE2;PARP16;UBB;MOGS;TMPRSS2;CTSL;PARP14;UBA52;MAP1LC3B;UBE2I;ST3GAL1;CHMP4A;PARP4;UVRAG;CANX;PIK3R4;PRKCSH;VCP
CUSTOM140674733480768	SCF(Skp2)-mediated degradation of p27/p21	56/60			PSMB2;PSMB9;CCNE1;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;PSMA4;PSMA5;PSMA7;CUL1;PSMD10;PSMB4;PSMA1;PSMD6;PTK6;PSMB3;PSMB10;CDK4;PSMA6;CDKN1A;CDKN1B;PSMC6;CCNA2;CKS1B;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;PSMA2;SKP1;PSMD1;PSMD14;CDK2;PSMD3;UBB;PSMC2;PSMD7;PSMB1;PSMB8;CCND1;PSME1;UBA52;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;PSMB7;PSME3;SKP2;PSMD13
CUSTOM140674733480768	SCF-beta-TrCP mediated degradation of Emi1	52/55			PSMB2;PSMB9;PSMD12;PSMD8;PSMD11;RPS27A;PSMC1;PSMA4;PSMA5;PSMA7;CUL1;CDC20;PSMD10;PSMB4;PSMA1;PSMD6;PSMB3;PSMB10;PSMA6;PSMC6;FZR1;PSMC3;PSME2;PSMD9;PSMD4;PSMD5;PSMC4;PSMB11;BTRC;PSMA2;SKP1;PSMD1;PSMD14;PSMD3;UBB;PSMC2;PSMD7;PSME4;PSMB1;PSMB8;PSME1;UBA52;PSMA8;PSMA3;PSMC5;PSMB6;PSMD2;PSMF1;PSMB5;PSMB7;PSME3;PSMD13
CUSTOM140674733480768	SDK interactions	2/2			SDK1;SDK2
CUSTOM140674733480768	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	13/14			FARP2;PLXNA3;PLXNA4;PIP5K1C;NRP1;SEMA3A;TLN1;RAC1;PLXNA2;RRAS;FES;FYN;PLXNA1
CUSTOM140674733480768	SHC-mediated cascade:FGFR1	10/21			SOS1;GRB2;KL;KRAS;SHC1;FGF1;FGF2;HRAS;NRAS;FGFR1
CUSTOM140674733480768	SHC-mediated cascade:FGFR2	10/23			SOS1;FGF7;GRB2;KRAS;SHC1;FGF1;FGF2;HRAS;NRAS;FGFR2
CUSTOM140674733480768	SHC-mediated cascade:FGFR3	9/18			SOS1;GRB2;KRAS;SHC1;FGF1;FGF2;HRAS;NRAS;FGFR3
CUSTOM140674733480768	SHC-mediated cascade:FGFR4	8/20			SOS1;GRB2;KRAS;SHC1;FGF1;FGF2;HRAS;NRAS
CUSTOM140674733480768	SHC-related events triggered by IGF1R	9/9			SOS1;GRB2;KRAS;SHC1;IGF1R;HRAS;NRAS;IGF1;IGF2
CUSTOM140674733480768	SHC1 events in EGFR signaling	11/14			SOS1;EGF;EGFR;GRB2;KRAS;SHC1;HRAS;NRAS;TGFA;AREG;BTC
CUSTOM140674733480768	SHC1 events in ERBB2 signaling	17/22			PRKCE;SOS1;EGF;EGFR;GRB2;ERBB3;ERBB4;NRG1;KRAS;SHC1;HRAS;NRAS;PRKCA;ERBB2;PRKCD;BTC;PTPN12
CUSTOM140674733480768	SHC1 events in ERBB4 signaling	9/14			SOS1;GRB2;ERBB4;NRG1;KRAS;SHC1;HRAS;NRAS;BTC
CUSTOM140674733480768	SIRT1 negatively regulates rRNA expression	7/40			TAF1C;SUV39H1;H2AFX;TBP;RRP8;SIRT1;TAF1B
CUSTOM140674733480768	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	9/11			NCBP1;NCBP2;SNRPF;LSM11;SLBP;SNRPE;SNRPD3;SNRPG;SNRPB
CUSTOM140674733480768	SLBP independent Processing of Histone Pre-mRNAs	8/10			NCBP1;NCBP2;SNRPF;LSM11;SNRPE;SNRPD3;SNRPG;SNRPB
CUSTOM140674733480768	SLC transporter disorders	79/99			NUP58;SLC33A1;SLC2A10;SLC7A7;SLC3A1;TPR;SLC1A1;NUP153;POM121C;SLC40A1;SLC2A9;NUP155;SLC6A19;CP;NUP88;SLC5A2;SLC6A14;NUP54;NUP62;SLC1A3;SLC22A12;SLC39A4;SLC2A1;SLC20A2;AAAS;SLC22A18;NUP188;NUP35;SLC12A1;NUP37;BSG;SLC35A3;SLC4A4;NUP133;SLC35C1;SLC7A9;SLC36A2;HEPH;SLC26A2;SLCO2A1;POM121;SLC34A1;SEC13;NUP93;SLC9A9;SEH1L;RHAG;NUP85;SLC26A3;NUP210;NUP214;NUP205;NUP107;NDC1;SLC11A2;SLC27A4;SLC17A5;SLC16A1;SLC2A2;SLC35A1;HK1;NUP43;SLC6A20;SLC34A3;SLC12A6;SLC4A1;SLC29A3;SLC9A6;SLC22A5;NUP50;RANBP2;SLC35A2;SLC3A2;RAE1;SLC34A2;SLC5A1;SLC12A3;NUP98;NUP160
CUSTOM140674733480768	SLC-mediated transmembrane transport	185/251			SLC16A10;SLC15A1;SLC24A2;SLC33A1;SLC47A2;SLC5A3;SLC2A10;SLC7A7;SLC3A1;SLC27A6;SLC5A12;SLC29A2;SLC25A22;SLC44A2;APOD;SLC1A4;SLC12A7;SRI;SLC1A1;SLC22A2;SLC38A3;SLC39A1;ALB;SLC26A6;SLC4A10;SLC6A6;SLC15A3;SLC25A6;SLC11A1;SLC28A1;SLC40A1;SLC2A9;SLC38A2;SLC8B1;SLC22A3;SLC2A11;SLC47A1;SLC4A8;SLC6A19;SLC7A10;CP;SLC5A2;SLC7A2;SLC6A14;SLC25A5;SLC17A6;SLC30A3;SLC16A7;SLC1A3;SLC22A12;SLC25A10;SLC4A2;SLC50A1;SLC39A4;SLC2A3;SLC2A1;MFSD4B;SLC5A9;SLC20A2;SLC16A2;SLC22A18;ARL2;SLC35B3;SLC4A7;SLC12A1;SLC25A29;SLC6A11;SLC22A7;BSG;SLC39A6;SLC15A4;SLC35A3;SLC39A10;SLC1A5;SLC4A3;SLC4A4;SLC7A6;SLC35C1;SLC7A9;SLC28A3;SLC35D1;SLC36A2;SLC12A4;SLC17A7;HEPH;RUNX1;SLC1A2;SLC32A1;SLC38A5;SLC26A2;SLC16A3;SLCO2A1;SLC7A1;EMB;SLC6A1;SLC13A5;RHCG;SLC12A2;SLC22A11;SLC6A13;SLC22A8;SLC38A1;SLC30A6;SLC39A5;SLC9A3;SLC7A8;SLC34A1;SLC20A1;SLC30A1;SLC44A3;SLC8A3;SLC15A2;SLC9A9;SLC30A5;SLC9A1;RHAG;SLC26A3;SLC13A2;AHCYL2;SLC35B2;SLC5A8;SLC8A1;SLC8A2;ARL2BP;SLC30A2;SLC11A2;SLC39A8;SLC13A3;SLC6A12;SLC27A4;SLC10A6;SLC17A5;SLC25A4;SLC16A1;SLC26A11;SLC2A4;SLC31A1;SLC2A2;SLC35A1;SLC27A1;SLC26A1;SLC44A1;SLCO2B1;SLC5A11;SLC6A20;SLC43A2;SLCO3A1;SLC2A6;SLCO1C1;SLC34A3;SLC12A6;SLC4A1;SLC29A3;SLC9A6;SLC22A5;SLC22A6;PDZD11;CALM1;SLC7A11;SLC35A2;SLC6A7;SLC44A4;SLC5A10;SLCO4C1;SLC12A5;SLC7A5;SLC5A6;SLC14A1;SLC9A8;SLC3A2;SLC39A14;LCN1;SLC25A26;SLC22A4;SLC13A1;SLC25A18;SLC30A7;SLC9A7;SLC34A2;SLC5A1;SLC6A15;SLC2A13;SLC12A3;SLC39A7;SLC29A1
CUSTOM140674733480768	SLIT2:ROBO1 increases RHOA activity	4/4			MYO9B;SLIT2;RHOA;ROBO1
CUSTOM140674733480768	SMAC (DIABLO) binds to IAPs	7/7			APAF1;CASP9;CYCS;CASP7;CASP3;DIABLO;XIAP
CUSTOM140674733480768	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes	7/7			APAF1;CASP9;CYCS;CASP7;CASP3;DIABLO;XIAP
CUSTOM140674733480768	SMAC, XIAP-regulated apoptotic response	7/8			APAF1;CASP9;CYCS;CASP7;CASP3;DIABLO;XIAP
CUSTOM140674733480768	SMAD2/3 MH2 Domain Mutants in Cancer	3/3			SMAD3;SMAD4;SMAD2
CUSTOM140674733480768	SMAD2/3 Phosphorylation Motif Mutants in Cancer	6/6			TGFB1;TGFBR2;SMAD2;TGFBR1;SMAD3;ZFYVE9
CUSTOM140674733480768	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	28/32			MYC;RPS27A;JUNB;CDK9;E2F5;SMAD4;TGIF2;SP1;CDK8;E2F4;SNW1;RBL1;SMAD2;SERPINE1;TFDP2;MEN1;CDKN2B;TFDP1;TGIF1;UBB;CCNC;CCNK;CCNT1;UBA52;WWTR1;SMAD3;HDAC1;CCNT2
CUSTOM140674733480768	SMAD4 MH2 Domain Mutants in Cancer	3/3			SMAD3;SMAD4;SMAD2
CUSTOM140674733480768	SOS-mediated signalling	7/7			SOS1;IRS2;GRB2;KRAS;HRAS;NRAS;IRS1
CUSTOM140674733480768	SRP-dependent cotranslational protein targeting to membrane	111/119			RPS3A;RPL15;RPS5;RPS14;RPS21;RPS7;RPS8;SRP14;RPL22L1;RPL27A;RPL9;RPN1;RPLP0;SSR1;FAU;RPL31;RPS11;RPL17;RPL23;RPS28;SPCS2;SPCS1;SRP19;RPL26L1;UBA52;RPLP2;RPL23A;RPS29;RPS23;SEC61A1;RPL4;SEC61A2;DDOST;RPS27;RPL19;RPL18A;RPS20;RPS25;RPL39;RPN2;SPCS3;TRAM1;SRP68;RPL14;RPS27L;RPL22;RPS3;RPL28;RPS15A;RPL10A;RPS10;RPS4X;RPL8;RPL7;SEC11C;SSR3;RPL35A;RPL32;RPL13;RPS13;SRP54;RPS27A;RPS16;RPS4Y2;RPL36;RPS2;RPL37;RPL12;RPL10;SSR2;RPS19;SRPRB;RPSA;SRPRA;RPL3;RPL29;SSR4;RPL35;RPL36AL;RPS6;RPL11;RPL30;SEC61B;RPL34;RPL5;RPS15;RPL13A;SRP72;RPS9;RPL6;RPS26;SEC61G;RPL24;RPS12;RPL21;RPL18;RPS18;RPL10L;RPL3L;RPL27;SRP9;RPL36A;RPL7A;RPS24;RPL26;RPS4Y1;RPS17;RPL37A;RPLP1;SEC11A;RPL38
CUSTOM140674733480768	STAT5 Activation	6/7			STAT5B;GRB2;PTPN11;FLT3;STAT5A;GAB2
CUSTOM140674733480768	STAT6-mediated induction of chemokines	2/3			STAT6;TBK1
CUSTOM140674733480768	STING mediated induction of host immune responses	14/16			STAT6;IFI16;XRCC5;DDX41;CGAS;DTX4;IRF3;TREX1;TBK1;MRE11;XRCC6;NLRC3;PRKDC;TRIM21
CUSTOM140674733480768	SUMO E3 ligases SUMOylate target proteins	152/169			SIN3A;NUP58;CDCA8;SUZ12;DNMT1;RANGAP1;NFKBIA;WRN;NR1H4;TPR;PCGF2;THRA;DAXX;RARA;SMC1A;AURKB;XPC;XRCC4;CREBBP;NUP153;RXRA;DDX5;HERC2;RNF168;POM121C;TDG;HNRNPK;ESR1;NUP155;CTBP1;TOP1;HDAC7;NUP88;NUP54;NUP62;NFKB2;TOP2A;PGR;SMC6;CBX4;HDAC1;HDAC2;SP100;AAAS;UHRF2;NUP188;MDC1;CHD3;SUMO1;NUP35;STAG1;RELA;NUP37;SATB2;PHC2;TP53;PIAS3;RORA;NUP133;SUMO3;PCNA;NR2C1;NCOA2;HIC1;NSMCE4A;HIPK2;UBE2I;SMC5;RPA1;PHC3;NCOA1;AR;TP53BP1;DNMT3A;TFAP2B;CBX8;PML;AURKA;POM121;SEC13;BLM;NUP93;NSMCE2;BIRC5;TRIM28;MTA1;RING1;SUMO2;SEH1L;NUP85;EP300;PARP1;NUP210;NUP214;NUP205;DDX17;NUP107;VHL;PIAS2;TRIM27;SP3;CASP8AP2;ING2;NDC1;NOP58;HNRNPC;NPM1;IKBKE;IKBKG;NCOR2;RAD21;HDAC4;MBD1;CBX5;VDR;PIAS1;NSMCE3;ZNF131;BRCA1;NUP43;RNF2;ZBED1;NRIP1;NSMCE1;INCENP;MITF;SMC3;PHC1;TFAP2C;DNMT3B;NUP50;RANBP2;PARK7;NR3C1;SATB1;TOP2B;TFAP2A;CBX2;CDKN2A;NR3C2;L3MBTL2;RAE1;MRTFA;NR1H2;STAG2;FOXL2;CETN2;SAFB;TOPORS;NUP98;NUP160;PIAS4
CUSTOM140674733480768	SUMO is conjugated to E1 (UBA2:SAE1)	5/5			SUMO2;UBA2;SUMO1;SUMO3;SAE1
CUSTOM140674733480768	SUMO is proteolytically processed	6/6			SUMO2;SENP2;SENP5;SUMO1;SUMO3;SENP1
CUSTOM140674733480768	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	7/7			UBE2I;SUMO2;RWDD3;SUMO3;SUMO1;UBA2;SAE1
CUSTOM140674733480768	SUMOylation	158/175			SIN3A;NUP58;CDCA8;SUZ12;RWDD3;DNMT1;RANGAP1;NFKBIA;WRN;NR1H4;TPR;PCGF2;THRA;DAXX;RARA;SMC1A;AURKB;XPC;XRCC4;CREBBP;NUP153;RXRA;DDX5;HERC2;RNF168;POM121C;TDG;HNRNPK;SENP5;ESR1;NUP155;CTBP1;TOP1;HDAC7;NUP88;NUP54;NUP62;NFKB2;TOP2A;PGR;SMC6;CBX4;HDAC1;HDAC2;SP100;AAAS;UHRF2;NUP188;MDC1;CHD3;SUMO1;NUP35;STAG1;RELA;NUP37;SATB2;SENP2;PHC2;TP53;PIAS3;RORA;NUP133;SUMO3;PCNA;NR2C1;NCOA2;HIC1;NSMCE4A;HIPK2;UBE2I;SMC5;RPA1;PHC3;NCOA1;AR;TP53BP1;DNMT3A;UBA2;TFAP2B;CBX8;PML;AURKA;POM121;SEC13;BLM;NUP93;NSMCE2;BIRC5;SAE1;TRIM28;MTA1;RING1;SUMO2;SEH1L;NUP85;EP300;PARP1;NUP210;NUP214;NUP205;DDX17;NUP107;VHL;PIAS2;TRIM27;SP3;CASP8AP2;ING2;NDC1;NOP58;HNRNPC;NPM1;IKBKE;IKBKG;NCOR2;RAD21;HDAC4;MBD1;CBX5;VDR;PIAS1;NSMCE3;ZNF131;BRCA1;NUP43;RNF2;ZBED1;NRIP1;NSMCE1;INCENP;MITF;SMC3;PHC1;TFAP2C;DNMT3B;NUP50;RANBP2;PARK7;NR3C1;SATB1;SENP1;TOP2B;TFAP2A;CBX2;CDKN2A;NR3C2;L3MBTL2;RAE1;MRTFA;NR1H2;STAG2;FOXL2;CETN2;SAFB;TOPORS;NUP98;NUP160;PIAS4
CUSTOM140674733480768	SUMOylation of DNA damage response and repair proteins	72/77			SP100;PIAS1;CBX8;NUP58;PML;POM121;NSMCE3;BRCA1;AAAS;SEC13;NUP43;RNF2;NUP188;BLM;NUP93;NSMCE2;NSMCE1;MDC1;SMC3;SUMO1;NUP35;PHC1;STAG1;WRN;TPR;RING1;PCGF2;SUMO2;NUP50;NUP37;RANBP2;SEH1L;PHC2;SMC1A;XPC;NUP133;XRCC4;SUMO3;NUP85;PARP1;NUP210;NUP153;NUP214;NUP205;PIAS4;HERC2;RNF168;POM121C;CBX2;CDKN2A;NUP107;TDG;PIAS2;NSMCE4A;RAE1;NUP155;NDC1;STAG2;HDAC7;NUP160;UBE2I;NUP88;SMC5;CETN2;NUP54;RPA1;PHC3;NUP62;RAD21;NUP98;SMC6;CBX4
CUSTOM140674733480768	SUMOylation of DNA methylation proteins	14/16			UBE2I;CBX8;RING1;PCGF2;CBX2;RNF2;PHC3;PHC2;SUMO1;DNMT3A;CBX4;DNMT1;PHC1;DNMT3B
CUSTOM140674733480768	SUMOylation of DNA replication proteins	45/46			NUP58;CDCA8;POM121;AURKA;NUP43;AAAS;SEC13;NUP188;NUP93;INCENP;SUMO1;NUP35;BIRC5;RANGAP1;TPR;SUMO2;NUP50;NUP37;RANBP2;SEH1L;PIAS3;AURKB;NUP133;NUP85;SUMO3;TOP2B;NUP214;NUP210;NUP153;PCNA;NUP205;POM121C;NUP107;RAE1;NUP155;NDC1;TOP1;UBE2I;NUP88;NUP54;NUP62;TOP2A;NUP98;NUP160;PIAS4
CUSTOM140674733480768	SUMOylation of RNA binding proteins	44/47			CBX8;NUP58;POM121;NUP43;RNF2;AAAS;SEC13;NUP188;NUP93;SUMO1;NUP35;PHC1;TPR;RING1;PCGF2;SUMO2;NUP50;NUP37;RANBP2;SEH1L;PHC2;NUP133;NUP85;NUP214;NUP210;NUP153;NUP205;CBX2;POM121C;NUP107;HNRNPK;RAE1;NUP155;NDC1;NOP58;HNRNPC;NUP88;UBE2I;NUP54;PHC3;NUP62;NUP98;NUP160;CBX4
CUSTOM140674733480768	SUMOylation of SUMOylation proteins	34/35			NUP58;POM121;NUP43;AAAS;SEC13;NUP188;NUP93;SUMO1;NUP35;TPR;SUMO2;NUP50;NUP37;RANBP2;SEH1L;NUP85;NUP133;NUP210;NUP214;NUP153;NUP205;POM121C;NUP107;RAE1;NUP155;NDC1;UBE2I;NUP88;NUP54;NUP62;TOPORS;NUP98;NUP160;PIAS4
CUSTOM140674733480768	SUMOylation of chromatin organization proteins	54/58			HDAC2;PIAS1;CBX8;NUP58;NUP43;POM121;RNF2;AAAS;SEC13;SUZ12;ZBED1;NUP188;NUP93;CHD3;SUMO1;NUP35;PHC1;TPR;RING1;PCGF2;SUMO2;NUP50;NUP37;SATB2;HDAC4;RANBP2;SEH1L;PHC2;NUP133;NUP85;SATB1;SUMO3;NUP210;NUP214;NUP153;NUP205;CBX2;POM121C;L3MBTL2;NUP107;PIAS2;RAE1;NUP155;NDC1;UBE2I;NUP88;NUP54;PHC3;NUP62;NUP98;NUP160;CBX4;HDAC1;CBX5
CUSTOM140674733480768	SUMOylation of immune response proteins	11/11			UBE2I;RELA;IKBKE;IKBKG;NFKB2;PIAS3;TOPORS;SUMO1;SUMO3;PIAS4;NFKBIA
CUSTOM140674733480768	SUMOylation of intracellular receptors	22/30			VDR;PIAS1;SUMO1;NR1H4;SUMO2;THRA;NR3C1;PIAS3;RARA;RORA;SUMO3;RXRA;NR2C1;NR3C2;PIAS2;ESR1;NR1H2;UBE2I;PGR;AR;PIAS4;HDAC4
CUSTOM140674733480768	SUMOylation of transcription cofactors	40/44			PIAS1;SIN3A;CBX8;ZNF131;RNF2;NRIP1;UHRF2;SUMO1;PHC1;TRIM28;RING1;PCGF2;CBX4;SUMO2;DAXX;PARK7;PHC2;PIAS3;SUMO3;EP300;CREBBP;DDX5;CBX2;NCOA2;DDX17;PIAS2;MRTFA;CASP8AP2;CTBP1;ING2;HIPK2;NPM1;UBE2I;PHC3;SAFB;NCOA1;NCOR2;TOPORS;PIAS4;MBD1
CUSTOM140674733480768	SUMOylation of transcription factors	19/20			PIAS1;MITF;SUMO1;TFAP2C;MTA1;SUMO2;TP53;PIAS3;SUMO3;TFAP2A;CDKN2A;HIC1;PIAS2;SP3;UBE2I;FOXL2;TP53BP1;PIAS4;TFAP2B
CUSTOM140674733480768	SUMOylation of ubiquitinylation proteins	37/39			PIAS1;PML;NUP58;POM121;NUP43;AAAS;SEC13;NUP188;NUP93;SUMO1;NUP35;TPR;NUP50;NUP37;RANBP2;SEH1L;NUP85;NUP133;NUP214;NUP210;NUP153;NUP205;POM121C;NUP107;VHL;PIAS2;RAE1;TRIM27;NUP155;NDC1;UBE2I;NUP88;NUP54;NUP62;NUP98;NUP160;PIAS4
CUSTOM140674733480768	Scavenging by Class A Receptors	19/19			COL3A1;COL4A1;MARCO;APOA1;COL4A2;MASP1;HSP90B1;SCARA5;APOE;FTH1;MSR1;COL1A1;COL1A2;FTL;COLEC12;CALR;SCGB3A2;COLEC11;APOB
