	pathway_id	cancer_type	mean_expr	url	name	pathway_times_enriched	pathway_avg_rank	entities_pValue	entities_fdr	cancer_rank_pval
57	R-HSA-975957	colon	0.8148148148148148	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.00018567485938592032	0.02580881972706428	12.5
58	R-HSA-975957	endometrial	0.6261682242990654	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.08755203584398652	0.8219205345749762	25.5
59	R-HSA-975957	gbm	0.7714285714285715	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.09008047128707031	0.803797666027487	18.5
60	R-HSA-975957	hnscc	0.2336448598130841	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.15708215432537542	0.83292086846573	30.5
61	R-HSA-975957	lscc	0.7115384615384616	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTlfMjgw	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.0946653969672091	0.8726502026225027	12.5
62	R-HSA-975957	luad	0.7090909090909091	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjNfMjgx	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.046875549675676864	0.8489584258572173	7.5
63	R-HSA-975957	ovarian	0.8775510204081632	https://reactome.org/PathwayBrowser/#/R-HSA-975957&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MjZfMjgy	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	17.75	0.019049263955845164	0.7803251322975149	11.5
64	R-HSA-72203	ccrcc	0.5492957746478874	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDNfMjc1	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.018623187607077485	0.8426403962485929	2.0
65	R-HSA-72203	colon	0.7419354838709677	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDZfMjc2	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	2.8558029419034625e-07	0.0001376497017997469	3.0
66	R-HSA-72203	endometrial	0.15254237288135594	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MDlfMjc3	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.009292014911161273	0.8219205345749762	2.0
67	R-HSA-72203	gbm	0.7422222222222222	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTNfMjc4	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.01398082871085815	0.803797666027487	2.0
68	R-HSA-72203	hnscc	0.6635514018691588	https://reactome.org/PathwayBrowser/#/R-HSA-72203&DTAB=AN&ANALYSIS=MjAyMDA2MDkxNjQ1MTZfMjc5	Processing of Capped Intron-Containing Pre-mRNA	8	18.5	0.07432083108893561	0.83292086846573	8.0
